代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
sz300504,天邑股份,0.0,0.0,0.0,17.08,17.08,17.18,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300505,川金诺,0.0,0.0,0.0,25.73,25.73,25.74,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300506,ST名家汇,0.0,0.0,0.0,4.86,4.86,4.83,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300507,苏奥传感,0.0,0.0,0.0,8.39,8.39,8.23,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300508,维宏股份,0.0,0.0,0.0,32.01,32.01,32.2,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300509,新美星,0.0,0.0,0.0,11.4,11.4,11.44,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300510,金冠股份,0.0,0.0,0.0,4.15,4.15,4.18,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300511,雪榕生物,0.0,0.0,0.0,8.2,8.2,8.24,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300512,中亚股份,0.0,0.0,0.0,9.1,9.1,9.17,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300513,恒实科技,0.0,0.0,0.0,9.02,9.02,8.93,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300514,友讯达,0.0,0.0,0.0,12.33,12.33,12.31,0.0,0.0,0.0,0.0,0.0,09:22:51
sz300515,三德科技,0.0,0.0,0.0,16.91,16.91,17.18,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300516,久之洋,0.0,0.0,0.0,50.6,50.6,49.95,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300517,海波重科,0.0,0.0,0.0,12.12,12.12,12.37,0.0,0.0,0.0,0.0,0.0,09:23:36
sz300518,新迅达,0.0,0.0,0.0,24.91,24.91,24.84,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300519,新光药业,0.0,0.0,0.0,16.18,16.18,16.19,0.0,0.0,0.0,0.0,0.0,09:23:18
sz300520,科大国创,0.0,0.0,0.0,34.05,34.05,34.29,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300521,爱司凯,0.0,0.0,0.0,0.0,0.0,28.43,0.0,0.0,0.0,0.0,0.0,09:23:12
sz300522,世名科技,0.0,0.0,0.0,13.36,13.36,13.37,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300523,辰安科技,0.0,0.0,0.0,21.98,21.98,21.74,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300525,博思软件,0.0,0.0,0.0,10.09,10.09,9.99,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300527,ST应急,0.0,0.0,0.0,8.12,8.12,8.16,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300528,幸福蓝海,0.0,0.0,0.0,15.68,15.68,15.55,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300529,健帆生物,0.0,0.0,0.0,18.95,18.95,19.06,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300530,领湃科技,0.0,0.0,0.0,24.0,24.0,24.05,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300531,优博讯,0.0,0.0,0.0,19.0,19.0,19.36,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300532,今天国际,0.0,0.0,0.0,11.49,11.49,11.46,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300533,冰川网络,0.0,0.0,0.0,27.5,27.5,27.72,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300534,陇神戎发,0.0,0.0,0.0,9.57,9.57,9.47,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300535,达威股份,0.0,0.0,0.0,19.6,19.6,19.49,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300536,农尚环境,0.0,0.0,0.0,8.93,8.93,8.97,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300537,广信材料,0.0,0.0,0.0,22.6,22.6,22.75,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300538,同益股份,0.0,0.0,0.0,16.64,16.64,16.38,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300539,横河精密,0.0,0.0,0.0,28.17,28.17,28.18,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300540,蜀道装备,0.0,0.0,0.0,34.2,34.2,34.06,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300541,先进数通,0.0,0.0,0.0,12.26,12.26,12.3,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300542,新晨科技,0.0,0.0,0.0,15.13,15.13,15.13,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300543,朗科智能,0.0,0.0,0.0,9.59,9.59,9.59,0.0,0.0,0.0,0.0,0.0,09:23:21
sz300545,联得装备,0.0,0.0,0.0,34.05,34.05,33.8,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300546,雄帝科技,0.0,0.0,0.0,19.68,19.68,19.71,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300547,川环科技,0.0,0.0,0.0,37.54,37.54,36.95,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300548,长芯博创,0.0,0.0,0.0,249.99,249.99,247.5,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300549,优德精密,0.0,0.0,0.0,19.02,19.02,18.12,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300550,和仁科技,0.0,0.0,0.0,13.4,13.4,13.46,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300551,古鳌科技,0.0,0.0,0.0,13.91,13.91,14.08,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300552,万集科技,0.0,0.0,0.0,26.62,26.62,26.32,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300553,集智股份,0.0,0.0,0.0,42.74,42.74,42.74,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300554,三超新材,0.0,0.0,0.0,24.71,24.71,24.71,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300555,ST路通,0.0,0.0,0.0,13.55,13.55,13.45,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300556,丝路视觉,0.0,0.0,0.0,19.56,19.56,19.56,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300557,理工光科,0.0,0.0,0.0,34.61,34.61,35.04,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300558,贝达药业,0.0,0.0,0.0,48.48,48.48,48.17,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300559,佳发教育,0.0,0.0,0.0,14.11,14.11,14.01,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300560,中富通,0.0,0.0,0.0,14.3,14.3,14.22,0.0,0.0,0.0,0.0,0.0,09:24:03
